date,ATL,BOS,NOP,CHI,DAL,DEN,HOU,LAC,LAL,MIA,MIL,MIN,BKN,NYK,ORL,IND,PHI,PHX,POR,SAC,SAS,OKC,TOR,UTA,MEM,WAS,DET,CHA,CLE,GSW
2018-10-16,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2018-10-17,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
2018-10-18,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
2018-10-19,0.0,0.5,1.0,0.0,0.0,1.0,0.0,0.5,0.0,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.0,1.0,0.0,1.0,0.5,0.5,0.0,1.0,0.5,0.0,1.0
2018-10-20,0.0,0.667,1.0,0.0,0.5,1.0,0.5,0.5,0.0,0.333,1.0,0.333,0.333,0.333,0.333,0.667,0.667,0.5,1.0,0.0,0.5,0.0,1.0,0.5,0.5,0.0,1.0,0.667,0.0,1.0
2018-10-21,0.333,0.667,1.0,0.0,0.5,1.0,0.333,0.667,0.0,0.333,1.0,0.333,0.333,0.333,0.333,0.667,0.667,0.5,1.0,0.333,0.5,0.0,1.0,0.5,0.5,0.0,1.0,0.667,0.0,0.667
2018-10-22,0.333,0.5,1.0,0.0,0.667,1.0,0.333,0.667,0.0,0.333,1.0,0.5,0.333,0.25,0.5,0.5,0.667,0.333,0.667,0.333,0.667,0.0,1.0,0.333,0.667,0.333,1.0,0.5,0.0,0.75
2018-10-23,0.333,0.5,1.0,0.0,0.667,1.0,0.333,0.5,0.0,0.333,1.0,0.5,0.333,0.25,0.5,0.5,0.5,0.333,0.667,0.25,0.667,0.0,1.0,0.333,0.667,0.333,1.0,0.5,0.0,0.75
2018-10-24,0.5,0.5,1.0,0.25,0.5,1.0,0.25,0.5,0.25,0.5,1.0,0.4,0.5,0.2,0.5,0.6,0.4,0.25,0.667,0.4,0.5,0.0,1.0,0.5,0.5,0.25,1.0,0.4,0.0,0.8
2018-10-25,0.5,0.6,1.0,0.25,0.5,0.8,0.25,0.5,0.4,0.5,1.0,0.4,0.5,0.2,0.4,0.6,0.4,0.25,0.75,0.4,0.5,0.0,1.0,0.5,0.5,0.25,1.0,0.4,0.0,0.8
2018-10-26,0.5,0.6,1.0,0.2,0.4,0.8,0.2,0.6,0.4,0.5,1.0,0.333,0.4,0.167,0.4,0.6,0.4,0.25,0.75,0.5,0.5,0.0,1.0,0.5,0.5,0.2,1.0,0.5,0.0,0.833
2018-10-27,0.4,0.667,0.8,0.333,0.4,0.8,0.2,0.6,0.333,0.6,1.0,0.333,0.4,0.167,0.333,0.667,0.5,0.2,0.6,0.5,0.6,0.0,1.0,0.6,0.6,0.2,0.8,0.429,0.0,0.833
2018-10-28,0.4,0.667,0.8,0.333,0.333,0.8,0.2,0.667,0.333,0.6,1.0,0.333,0.333,0.167,0.333,0.667,0.5,0.167,0.6,0.5,0.6,0.2,1.0,0.667,0.6,0.167,0.8,0.429,0.0,0.857
2018-10-29,0.333,0.667,0.667,0.286,0.286,0.833,0.2,0.667,0.286,0.5,1.0,0.429,0.286,0.286,0.333,0.571,0.571,0.167,0.667,0.571,0.667,0.2,0.857,0.667,0.6,0.167,0.8,0.429,0.0,0.875
2018-10-30,0.286,0.714,0.667,0.286,0.286,0.833,0.167,0.571,0.286,0.429,1.0,0.429,0.286,0.286,0.286,0.571,0.5,0.167,0.714,0.625,0.667,0.333,0.875,0.667,0.667,0.143,0.667,0.5,0.143,0.875
2018-10-31,0.286,0.714,0.571,0.25,0.25,0.857,0.167,0.571,0.375,0.429,1.0,0.5,0.375,0.25,0.286,0.625,0.5,0.143,0.714,0.625,0.714,0.333,0.875,0.571,0.667,0.143,0.571,0.5,0.143,0.889
2018-11-01,0.25,0.75,0.5,0.25,0.25,0.875,0.167,0.5,0.375,0.429,0.875,0.5,0.375,0.25,0.286,0.625,0.556,0.143,0.75,0.667,0.714,0.429,0.875,0.571,0.667,0.143,0.571,0.444,0.125,0.889
2018-11-02,0.25,0.75,0.5,0.222,0.222,0.875,0.286,0.556,0.375,0.429,0.875,0.444,0.333,0.333,0.25,0.667,0.556,0.125,0.75,0.667,0.714,0.5,0.889,0.5,0.714,0.125,0.571,0.444,0.125,0.9
2018-11-03,0.333,0.667,0.444,0.2,0.222,0.889,0.375,0.556,0.444,0.375,0.875,0.444,0.333,0.333,0.25,0.7,0.6,0.125,0.667,0.667,0.75,0.5,0.889,0.444,0.714,0.125,0.5,0.5,0.111,0.9
2018-11-04,0.333,0.667,0.444,0.2,0.222,0.889,0.375,0.556,0.4,0.375,0.889,0.4,0.4,0.3,0.333,0.7,0.545,0.222,0.7,0.6,0.667,0.5,0.9,0.444,0.625,0.222,0.5,0.5,0.111,0.9
2018-11-05,0.333,0.6,0.4,0.273,0.222,0.9,0.444,0.6,0.4,0.444,0.889,0.364,0.4,0.273,0.4,0.636,0.545,0.222,0.7,0.6,0.667,0.556,0.909,0.4,0.556,0.222,0.444,0.5,0.1,0.909
2018-11-06,0.3,0.6,0.4,0.273,0.3,0.9,0.444,0.6,0.4,0.444,0.8,0.364,0.455,0.273,0.4,0.636,0.545,0.2,0.727,0.6,0.667,0.556,0.909,0.4,0.556,0.2,0.444,0.545,0.1,0.909
2018-11-07,0.273,0.6,0.455,0.25,0.273,0.818,0.444,0.6,0.455,0.5,0.8,0.333,0.455,0.333,0.364,0.583,0.583,0.2,0.727,0.545,0.6,0.6,0.917,0.455,0.6,0.2,0.5,0.545,0.091,0.909
2018-11-08,0.273,0.636,0.455,0.25,0.273,0.818,0.4,0.545,0.455,0.5,0.818,0.333,0.455,0.333,0.364,0.583,0.583,0.182,0.75,0.545,0.6,0.636,0.917,0.455,0.6,0.2,0.5,0.545,0.091,0.833
2018-11-09,0.25,0.583,0.455,0.25,0.273,0.75,0.4,0.545,0.455,0.455,0.818,0.308,0.5,0.333,0.417,0.615,0.615,0.182,0.75,0.583,0.6,0.636,0.917,0.5,0.6,0.182,0.545,0.5,0.091,0.833
2018-11-10,0.25,0.583,0.5,0.308,0.333,0.75,0.364,0.583,0.5,0.417,0.75,0.308,0.462,0.308,0.417,0.615,0.571,0.167,0.75,0.538,0.636,0.583,0.923,0.5,0.636,0.25,0.545,0.5,0.083,0.846
2018-11-11,0.231,0.538,0.5,0.308,0.333,0.692,0.417,0.583,0.538,0.417,0.769,0.308,0.462,0.286,0.462,0.571,0.571,0.167,0.769,0.538,0.636,0.583,0.923,0.5,0.636,0.25,0.5,0.538,0.083,0.846
2018-11-12,0.231,0.538,0.538,0.286,0.385,0.692,0.417,0.615,0.538,0.385,0.769,0.357,0.429,0.286,0.429,0.571,0.6,0.154,0.769,0.571,0.583,0.615,0.857,0.538,0.583,0.308,0.5,0.538,0.083,0.786
2018-11-13,0.214,0.538,0.538,0.286,0.385,0.643,0.462,0.615,0.538,0.385,0.769,0.357,0.429,0.286,0.429,0.571,0.6,0.154,0.769,0.571,0.583,0.615,0.857,0.538,0.583,0.308,0.5,0.5,0.154,0.8
2018-11-14,0.214,0.571,0.5,0.267,0.429,0.643,0.462,0.615,0.571,0.429,0.714,0.4,0.4,0.267,0.467,0.571,0.562,0.214,0.714,0.571,0.538,0.643,0.8,0.5,0.615,0.357,0.538,0.5,0.143,0.8
2018-11-15,0.2,0.571,0.5,0.267,0.429,0.667,0.5,0.643,0.571,0.429,0.714,0.4,0.4,0.267,0.467,0.571,0.562,0.214,0.714,0.571,0.5,0.643,0.8,0.5,0.615,0.357,0.538,0.5,0.143,0.75
2018-11-16,0.2,0.6,0.533,0.25,0.429,0.667,0.5,0.643,0.571,0.4,0.733,0.438,0.438,0.25,0.467,0.6,0.588,0.214,0.667,0.533,0.5,0.643,0.75,0.467,0.643,0.333,0.538,0.5,0.143,0.75
2018-11-17,0.188,0.562,0.562,0.235,0.467,0.625,0.533,0.667,0.533,0.4,0.733,0.438,0.412,0.25,0.5,0.625,0.611,0.2,0.667,0.5,0.5,0.667,0.765,0.5,0.643,0.333,0.538,0.467,0.143,0.706
2018-11-18,0.188,0.562,0.562,0.235,0.467,0.625,0.533,0.667,0.562,0.375,0.733,0.412,0.412,0.235,0.529,0.625,0.611,0.2,0.688,0.5,0.533,0.667,0.765,0.5,0.667,0.312,0.538,0.467,0.143,0.667
2018-11-19,0.176,0.529,0.588,0.235,0.438,0.588,0.533,0.688,0.562,0.375,0.75,0.412,0.412,0.235,0.529,0.647,0.632,0.188,0.688,0.529,0.5,0.625,0.765,0.471,0.688,0.312,0.571,0.5,0.133,0.667
2018-11-20,0.176,0.529,0.588,0.235,0.438,0.588,0.533,0.647,0.562,0.353,0.75,0.412,0.444,0.222,0.5,0.647,0.632,0.188,0.706,0.529,0.5,0.625,0.778,0.471,0.688,0.353,0.571,0.5,0.133,0.667
2018-11-21,0.167,0.5,0.556,0.278,0.471,0.611,0.562,0.647,0.588,0.353,0.765,0.389,0.421,0.263,0.5,0.611,0.65,0.176,0.667,0.556,0.471,0.647,0.789,0.444,0.706,0.353,0.533,0.529,0.125,0.632
2018-11-22,0.167,0.5,0.556,0.278,0.471,0.611,0.562,0.647,0.588,0.353,0.765,0.389,0.421,0.263,0.5,0.611,0.65,0.176,0.667,0.556,0.471,0.647,0.789,0.444,0.706,0.353,0.533,0.529,0.125,0.632
2018-11-23,0.158,0.526,0.526,0.263,0.471,0.632,0.529,0.667,0.611,0.389,0.722,0.421,0.4,0.3,0.474,0.579,0.619,0.222,0.632,0.556,0.5,0.667,0.8,0.421,0.667,0.333,0.562,0.5,0.176,0.65
2018-11-24,0.158,0.5,0.5,0.25,0.5,0.65,0.5,0.667,0.611,0.389,0.737,0.45,0.4,0.3,0.474,0.579,0.619,0.222,0.632,0.526,0.474,0.632,0.8,0.421,0.667,0.368,0.562,0.5,0.222,0.667
2018-11-25,0.2,0.5,0.5,0.25,0.5,0.65,0.5,0.684,0.579,0.368,0.737,0.45,0.381,0.333,0.5,0.579,0.636,0.211,0.6,0.5,0.474,0.632,0.81,0.45,0.632,0.368,0.588,0.474,0.222,0.667
